CI87702,D41,EU
FZ98234,E10,US
HL94468,B39,PE
NL61668,A37,PE
TL56384,E36,PE
IG92877,D39,PE
BB53001,E23,PE
SB26669,D37,PE
NL61668,C21,PE
DX44682,B50,PE
YR12572,C08,PE
BP15881,C25,PE
DX44682,E39,PE
RW87354,C15,PE
CE69353,B04,PE
FZ98234,C38,PE
CI87702,E12,PE
YR12572,B31,PE
JR86507,C50,PE
YW28008,A23,PE
YW80393,C09,PE
RW87354,E41,PE
OT32425,D17,PE
FT98440,D20,PE
FQ88002,A09,PE
OT32425,D01,PE
BF72860,E22,PE
YF17264,B05,PE
JR86507,E33,PE
IT60920,B41,PE
SB26669,C46,PE
BP15881,D07,PE
UK47509,B20,PE
RW87354,D50,PE
UK47509,E42,PE
JR86507,C36,PE
TL56384,B30,PE
HL94468,C11,PE
YW28008,B13,PE
RW87354,D09,US
SB26669,A41,US
WL09498,A29,PE
DX44682,A45,US
YR12572,C48,US
CI87702,E15,US
UE09721,C44,PE
JR86507,E34,PE
TL56384,D42,PE
OT32425,B21,US
YW28008,E49,US
BP15881,A07,US
CE69353,A11,PE
FT98440,B46,US
KS19431,C13,US
HL94468,B08,US
UE09721,A08,US
BB53001,D30,US
CI87702,E21,US
KS19431,A17,US
FT98440,E47,PE
MB82598,E19,PE
BF72860,D36,PE
OT32425,E45,US
RW87354,A32,PE
CI87702,A16,US
SW29687,E17,US
UK47509,E16,US
YW80393,E27,PE
IT60920,A30,US
UK47509,B40,US
IG92877,C19,US
SW29687,D19,US
YW28008,B03,US
SW29687,C42,US
YW80393,C41,US
YW28008,C17,US
FZ98234,D38,US
IO29421,A01,US
YW28008,A42,US
IT60920,B33,US
DX44682,E29,US
YR12572,B22,EU
IG92877,A26,US
WS24612,D10,US
DX44682,B07,US
UK47509,D11,US
MB82598,D29,US
JR86507,C43,US
NL61668,D31,US
FT98440,A39,US
TL56384,A31,US
HL94468,D15,US
FQ88002,B49,US
BF72860,D40,US
IT60920,A35,US
IT60920,D49,US
TL56384,E28,US
WL09498,C03,US
IT60920,C35,US
BF72860,D03,US
BB53001,D34,US
YW28008,C49,US
BB53001,B23,US
IO29421,C47,US
DX44682,D05,US
UK47509,D16,US
HL94468,D47,US
MB82598,D21,US
TL56384,D48,EU
YR12572,B18,US
WS24612,A21,US
CE69353,A02,EU
NL61668,A28,US
MB82598,D25,US
YR12572,B17,US
UK47509,E20,US
YR12572,B09,US
BP15881,C45,US
SW29687,A15,US
MB82598,A46,EU
KS19431,D43,US
SB26669,A49,US
YW80393,A19,US
IG92877,D23,US
YF17264,C39,US
SW29687,B42,US
JR86507,E31,US
FZ98234,C16,US
IO29421,B37,EU
JR86507,B48,EU
SW29687,C07,EU
RW87354,A03,EU
UE09721,C27,EU
FQ88002,E50,EU
CE69353,E18,EU
JR86507,A43,EU
BF72860,B38,EU
