INF263,Algoritmia,3.75,Ingenieria Informatica
MEC270,Procesos De Manufactura,4.00,Ingenieria Industrial
MEC289,Turbomaquinas Y Maquinas De Desplazamiento Positivo,4.25,Ingenieria Mecanica
MAT241,Metodos Numericos En Ingenieria,3.00,Ingenieria Industrial
MEC206,Termodinamica 1,4.50,Ingenieria Mecanica
INF246,Bases De Datos,3.75,Ingenieria Informatica
FIS220,Tecnicas Computacionales En Fisica,4.50,Fisica
INF248,Sistemas De Informacion 1,5.00,Ingenieria Informatica
MAT218,Ecuaciones Diferenciales Aplicadas,4.50,Ingenieria Electronica
FIS247,Optica Y Fotonica,4.50,Fisica
FIS227,Particulas Elementales,4.50,Fisica
MEC209,Mecanica De Fluidos,5.25,Ingenieria Mecanica
FIS239,Estado Solido,4.50,Fisica
FIS229,Trabajo De Investigacion,6.00,Ingenieria Civil
INF245,Ingenieria De Software,4.00,Ingenieria Informatica
MEC2T3,Laboratorio De Introduccion Al Diseno De Maquinas,1.00,Ingenieria Mecanica
INF250,Sistemas De Informacion 2,5.00,Ingenieria Informatica
FIS248,Mecanica Clasica 1,4.50,Ingenieria Civil
INF282,Lenguaje De Programacion 2,5.00,Ingenieria Informatica
MAT781,Matematica Computacional Para Control,3.00,Ingenieria Electronica
MEC2T2,Introduccion Al Diseno De Maquinas,4.50,Ingenieria Mecanica
FIS218,Fisica Moderna,4.50,Fisica
MEC286,Transferencia De Calor,4.25,Ingenieria Mecanica
FIS230,Teoria De Campos Electromagneticos,3.00,Fisica
INF220,Fundamentos De Programacion,5.00,Ingenieria Informatica
INF239,Sistemas Operativos,4.00,Ingenieria Informatica
MAT219,Herramientas Matematicas,4.50,Ingenieria Civil
FIS203,Fisica 4,4.50,Fisica
INF281,Lenguaje De Programacion 1,5.00,Ingenieria Informatica
FIS219,Sistemas Electromagneticos Y Optoelectronicos,4.50,Fisica
MEC373,Metrologia,3.00,Fisica
INF238,Redes De Computadoras,4.00,Ingenieria Informatica
FIS208,Temas De Fisica General,4.50,Fisica
MEC269,Laboratorio De Termodinamica Y Fluidos,1.00,Ingenieria Mecanica
