15,19
7,18
9,5
8,41
11,29
13,26
15,42
8,16
10,48
4,50
6,34
13,11
10,1
14,35
3,42
4,3
4,2
11,34
14,9
9,48
10,13
1,27
6,15
11,34
11,4
12,36
4,46
10,11
7,48
3,3
5,47
10,2
2,48
10,8
6,44
1,15
1,12
7,17
5,23
3,14
12,24
14,19
4,9
12,35
10,31
10,35
9,37
5,8
8,29
12,11
8,43
12,38
8,39
7,6
2,27
9,4
12,17
4,23
4,6
4,47
5,23
10,9
8,5
7,47
14,15
8,27
8,36
8,37
14,21
8,13
2,6
14,14
2,18
3,38
3,26
15,49
13,41
7,6
7,23
14,32
5,22
3,30
1,14
15,43
12,43
5,15
2,17
15,22
11,10
15,34
10,11
5,16
7,5
3,23
1,48
5,5
14,27
4,26
12,47
14,35
1,48
