60509,AMPICILINA 125MG SUSP 90ML,58.65,37
73972,VITAMINA E 400 MG C90 CAPS,54.4,45
94429,TIAMAZOL 5MG 20T,52.7,13
43709,CEFUROXIMA 250MG SUSP,78.2,70
82469,GUAYACOL AMPOLLETA 1ML,60.35,47
93578,SUCRALFATO 40 TAB/1G,55.25,40
26484,DILTIAZEM 30 TAB/30 MG,29.75,69
95196,DIGOXINA 0.250 MG C/24,62.05,58
65667,SUBSALICILATO/BISMUTO SUSP 120ML,61.2,72
94415,PRAVASTATINA 10 MG C/15,68.85,68
11370,KETOROLACO 4T 30MG SUBLINGUAL,2.55,30
49644,HIDROCORTISONA CRA 30GR,73.95,89
76238,BEZOCAINA 10GR GEL,56.95,57
76596,CEFADROXILO 250MG SUSP,9.35,54
48244,CLORANFENICOL SOL OFT 10ML,25.5,42
34070,FEXOFENADINA C/10 180MG,73.1,57
70226,CALCIO+VITAMINA D SUSP,39.95,56
30220,AMOXICILINA+BROMEXINA C12,39.95,47
88681,NIFEDIPINO 30 MG 30 CPS,53.55,24
40645,VERAPAMILO 80 MG/20 TAB,4.25,39
77358,LOPERAMIDA T/12 2MG,61.2,32
41995,DIMETICONA SUSP 100MG 30ML,25.5,50
90198,NITROFURAL 6MG 6/OV,44.2,50
77466,RAMIPRIL 16 TAB/5 MG,5.95,22
61508,DEXTROMETORFANO 300MG JBE 120 ML,4.25,49
22842,AMIKACINA 500MG C/1 AMP,47.6,50
53166,ASTEMIZOL SUSP 200MG,5.95,63
54692,NAFAZOLINA SOL OFT 15 ml,28.9,12
85865,PLANTAGO PSYLLIUM 400GR. GI,8.5,66
16055,AMBROXOL C/20 TAB,45.9,15
22553,FLUCINOLONA+NEOMICINA CRA 30G,39.1,58
31311,METILPREDNISOLONA 500MG,65.45,27
43633,ERITROMICINA T 250 MG C/20,39.1,59
31389,BETAMETASONA 4 MG/ML,52.7,75
79996,LANSOPRAZOL 15 MG C/14,31.45,87
48039,TRAMADOL 100MG 5AMP,11.9,73
16299,AZITROMICINA 500MG C/3T,49.3,47
26506,ITRACONAZOL 100 MG C/15,28.05,16
89325,DIMENHIDRINATO 24 T 50MG,79.05,30
55701,EUCALIPTO GUAYACOL PERLAS30,46.75,97
16681,SIBUTRAMINA 10 MG C15,22.1,53
27016,ACECLOFENACO 100MG 10T,51,69
85325,AMOXICILINA 250MG C12,56.1,21
30428,PROPAFENONA 150 MG/20 TAB,19.55,90
15098,LISINA CLOHRIDRATO 125MG T10,81.6,42
42861,BENCIDAMIDA CRA 5% 60GR,23.8,93
13364,MULTIVITAMINAS Y MINERALES C60,13.6,43
86451,TRIMEBUTINA 100MG/5ML SUSP,21.25,10
