D41,EU
E10,US
B39,PE
A37,PE
E36,PE
D39,PE
E23,PE
D37,PE
C21,PE
B50,PE
C08,PE
C25,PE
E39,PE
C15,PE
B04,PE
C38,PE
E12,PE
B31,PE
C50,PE
A23,PE
C09,PE
E41,PE
D17,PE
D20,PE
A09,PE
D01,PE
E22,PE
B05,PE
E33,PE
B41,PE
C46,PE
D07,PE
B20,PE
D50,PE
E42,PE
C36,PE
B30,PE
C11,PE
B13,PE
D09,US
A41,US
A29,PE
A45,US
C48,US
E15,US
C44,PE
E34,PE
D42,PE
B21,US
E49,US
A07,US
A11,PE
B46,US
C13,US
B08,US
A08,US
D30,US
E21,US
A17,US
E47,PE
E19,PE
D36,PE
E45,US
A32,PE
A16,US
E17,US
E16,US
E27,PE
A30,US
B40,US
C19,US
D19,US
B03,US
C42,US
C41,US
C17,US
D38,US
A01,US
A42,US
B33,US
E29,US
B22,EU
A26,US
D10,US
B07,US
D11,US
D29,US
C43,US
D31,US
A39,US
A31,US
D15,US
B49,US
D40,US
A35,US
D49,US
E28,US
C03,US
C35,US
D03,US
D34,US
C49,US
B23,US
C47,US
D05,US
D16,US
D47,US
D21,US
D48,EU
B18,US
A21,US
A02,EU
A28,US
D25,US
B17,US
E20,US
B09,US
C45,US
A15,US
A46,EU
D43,US
A49,US
A19,US
D23,US
C39,US
B42,US
E31,US
C16,US
B37,EU
B48,EU
C07,EU
A03,EU
C27,EU
E50,EU
E18,EU
A43,EU
B38,EU
