92419,897,24/07/2016,28/07/2016,04/08/2016,3
5159,545,13/11/2016,14/11/2016,14/12/2016,1
52680,499,04/10/2014,07/10/2014,14/10/2014,1
1354,225,15/01/2014,16/01/2014,15/02/2014,1
52680,224,02/09/2015,06/09/2015,13/09/2015,1
7882,833,18/11/2014,20/11/2014,20/12/2014,3
5751,979,18/03/2015,19/03/2015,18/04/2015,1
1639,274,04/02/2016,06/02/2016,07/03/2016,1
66377,688,16/05/2014,20/05/2014,27/05/2014,1
98202,158,06/04/2015,09/04/2015,16/04/2015,3
36466,461,11/11/2016,15/11/2016,22/11/2016,3
79138,124,04/06/2016,05/06/2016,12/06/2016,2
26685,833,17/11/2014,20/11/2014,27/11/2014,1
7882,499,17/03/2014,20/03/2014,19/04/2014,1
4341,798,24/09/2016,25/09/2016,25/10/2016,2
44573,224,09/12/2015,10/12/2015,17/12/2015,1
7882,833,23/10/2016,25/10/2016,24/11/2016,2
2519,499,21/06/2015,22/06/2015,22/07/2015,2
5751,545,11/05/2014,12/05/2014,11/06/2014,3
5882,837,28/03/2014,31/03/2014,30/04/2014,2
17572,263,05/03/2015,09/03/2015,16/03/2015,2
98828,225,19/08/2016,21/08/2016,28/08/2016,1
1526,897,09/03/2016,12/03/2016,11/04/2016,1
5882,224,18/06/2014,20/06/2014,20/07/2014,3
2506,274,01/11/2014,02/11/2014,02/12/2014,1
5882,225,02/02/2014,03/02/2014,05/03/2014,1
4113,461,25/03/2014,26/03/2014,25/04/2014,2
69791,979,29/06/2014,03/07/2014,10/07/2014,3
3442,324,08/05/2016,10/05/2016,09/06/2016,1
78376,225,02/01/2016,05/01/2016,12/01/2016,2
67560,263,12/09/2015,16/09/2015,23/09/2015,3
8791,833,16/04/2014,19/04/2014,19/05/2014,1
17572,263,20/11/2014,22/11/2014,29/11/2014,1
52106,274,25/07/2015,26/07/2015,02/08/2015,3
90775,224,08/12/2014,10/12/2014,17/12/2014,1
23387,456,31/07/2016,01/08/2016,08/08/2016,3
23822,274,26/02/2015,27/02/2015,06/03/2015,3
17572,324,21/01/2014,25/01/2014,01/02/2014,2
22048,124,16/09/2015,19/09/2015,26/09/2015,2
36466,461,01/10/2016,03/10/2016,10/10/2016,1
59519,225,05/04/2016,06/04/2016,13/04/2016,1
17572,224,23/03/2014,24/03/2014,31/03/2014,1
49619,458,17/02/2014,18/02/2014,25/02/2014,3
23387,158,17/08/2014,19/08/2014,26/08/2014,2
36466,263,04/07/2016,07/07/2016,14/07/2016,2
6939,124,22/09/2016,25/09/2016,25/10/2016,3
17572,224,30/04/2014,02/05/2014,09/05/2014,1
1354,970,29/09/2015,03/10/2015,02/11/2015,3
6113,274,03/10/2015,05/10/2015,04/11/2015,3
78376,897,27/06/2014,29/06/2014,06/07/2014,2
