20190208,20015550,A106001,20
20190209,20189890,A106002,30
20190210,20015550,A106005,25
20190211,20189090,A106021,20
20190212,20201929,A107933,20
20190213,21002939,A107987,30
20190213,20072122,A108231,25
20190213,20029311,A108239,20
20190214,20113388,A200214,30
20190214,29090909,CE69353,25
20190216,20123409,WL09498,15
20190217,20023498,SW29687,15
20190218,20029311,FQ88002,10
20190219,20113388,DX44682,10
20190219,29090909,YY65200,5
20190219,20123409,ZY49698,5
20190221,20023498,JI98835,10
20190222,20015550,JR86507,25
20190223,20189090,RW87354,20
20190224,20201929,WS24612,20
20190225,20015550,UK47509,30
20190226,20189890,A200214,25
20190227,20015550,SB26669,20
20190228,20189090,BF72860,30
20190302,20201929,YW80393,25
20190302,21002939,NL61668,15
20190302,20072122,BL95867,15
20190302,20029311,YF17264,10
20190303,20113388,IG92877,10
20190304,29090909,BP15881,5
20190305,20015550,YW28008,5
20190306,20189090,KS19431,10
20190307,20201929,MB82598,25
20190308,21002939,FT98440,20
20190309,20072122,YR12572,20
20190310,20029311,UE09721,30
20190310,20113388,IO29421,25
20190312,29090909,HL94468,20
20190313,20123409,OT32425,30
20190314,20023498,TT61626,25
20190315,20029311,BB53001,15
20190315,20113388,A106002,15
20190315,29090909,A106005,10
20190316,20123409,A106021,10
20190317,20023498,A107933,5
20190318,20015550,A107987,5
20190319,20072122,NL61668,10
20190320,20029311,BL95867,10
20190321,20113388,YF17264,5
20190322,29090909,IG92877,5
20190323,20015550,BP15881,30
20190324,20189090,YW28008,20
20190325,20201929,JI98835,20
20190325,21002939,JR86507,20
20190325,20072122,RW87354,20
20190325,20072122,WS24612,20
20190325,20072122,UK47509,20
20190325,29090909,A200214,20
20190325,20123409,SB26669,20
20190325,20023498,BF72860,10
20190325,20015550,IO29421,10
20190326,20072122,HL94468,10
20190327,20029311,OT32425,15
20190328,20113388,TT61626,15
20190329,29090909,BB53001,15
20190329,20015550,A106002,10
20190329,20189090,A106005,5
20190401,20201929,A106005,5
20190401,21002939,A106021,5
20190401,20072122,A107933,5
20190401,20015550,A107987,5
20190402,20189890,A107987,5
20190403,20015550,NL61668,10
20190404,20189090,BL95867,10
20190405,20201929,YF17264,10
20190406,21002939,IG92877,15
20190407,20072122,BP15881,15
20190408,20029311,YW28008,15
20190409,20113388,JI98835,20
20190410,29090909,JR86507,25
20190411,20123409,RW87354,20
20190412,20023498,WS24612,20
20190413,20029311,UK47509,20
20190414,20113388,A200214,20
20190415,20015550,SB26669,10
20190416,20189890,BF72860,10
20190416,20015550,IO29421,10
20190416,20189090,HL94468,15
20190416,20201929,OT32425,15
20190416,21002939,TT61626,15
20190417,20015550,BB53001,15
20190417,20189890,A106002,15
20190417,20015550,A106005,15
20190417,20189090,SB26669,15
20190418,20201929,BF72860,15
20190419,21002939,YW80393,15
20190420,20189090,NL61668,10
20190421,20201929,BL95867,5
20190422,21002939,YF17264,10
20190423,20072122,IG92877,25
20190424,20029311,BP15881,15
20190425,20113388,YW28008,15
20190426,29090909,KS19431,15
20190427,20015550,MB82598,15
20190427,20189090,FT98440,15
20190427,20201929,YR12572,15
20190427,21002939,UE09721,15
20190428,20201929,A106001,5
20190429,21002939,A106002,10
20190430,20072122,A106005,25
20190502,20029311,A106021,20
20190502,20113388,A107933,20
20190503,29090909,A107987,30
20190504,20015550,A108231,25
20190505,20189090,A108239,20
20190506,20123409,A200214,30
20190507,20023498,CE69353,25
20190508,20029311,WL09498,15
20190509,20113388,SW29687,15
20190510,29090909,FQ88002,10
20190511,20123409,DX44682,10
20190512,20023498,YY65200,5
20190513,20015550,ZY49698,5
20190514,20189090,JI98835,10
20190515,20201929,JR86507,10
20190516,20015550,RW87354,5
20190517,20189890,A108239,5
20190518,20015550,A200214,30
20190518,20201929,A106005,20
20190518,21002939,A106021,20
20190518,20072122,A107933,20
20190519,20029311,A107987,20
20190519,20113388,A107987,20
20190519,20201929,NL61668,20
20190519,20015550,CE69353,20
20190519,20189890,WL09498,20
20190519,20015550,SW29687,10
20190520,20201929,FQ88002,10
20190520,20015550,A106001,10
20190520,20189890,A106002,15
20190520,20015550,A106005,15
20190520,20189090,A106021,15
20190521,20201929,A107933,10
20190521,21002939,A107987,5
20190521,20189090,A108231,5
20190521,20201929,A108239,5
20190521,21002939,A200214,5
20190521,20072122,CE69353,5
20190521,20029311,WL09498,5
20190522,20113388,SW29687,10
20190522,29090909,FQ88002,10
20190522,20015550,DX44682,10
20190522,20189090,YY65200,15
20190522,20201929,ZY49698,15
20190522,21002939,JI98835,15
20190522,20072122,JR86507,20
20190522,20029311,RW87354,25
20190522,20113388,A108239,20
20190523,29090909,A200214,20
20190523,20015550,A106005,20
20190523,20189090,A106021,20
20190523,20201929,A108231,10
20190524,21002939,A108239,10
20190524,20072122,A200214,10
20190524,20029311,CE69353,15
20190524,20113388,WL09498,15
20190525,29090909,SW29687,15
20190525,20123409,FQ88002,15
20190525,20023498,DX44682,15
20190525,20029311,YY65200,15
20190526,20113388,ZY49698,15
20190526,29090909,JI98835,15
20190526,20123409,JR86507,15
20190527,20023498,RW87354,10
20190528,20015550,A106001,5
20190529,20072122,A106002,10
20190530,20029311,A106005,25
20190530,20113388,A106001,20
