JR86507;D03;20
OT32425;A21;20
JR86507;C25;20
WL09498;E02;20
IT60920;E38;20
YF17264;D48;20
TL56384;A42;20
JR86507;A15;20
OT32425;E49;20
UK47509;B36;20
FQ88002;C44;20
JR86507;D50;20
BP15881;E38;20
IG92877;A02;20
YR12572;D34;20
SB26669;A24;25
DX44682;A29;25
WS24612;B39;25
MB82598;D41;25
FZ98234;B34;25
IG92877;D20;25
FZ98234;C45;25
CE69353;E50;25
SW29687;E42;25
FZ98234;A42;25
UE09721;E28;25
BB53001;E18;25
NL61668;C46;25
IT60920;B42;25
FQ88002;C48;25
UK47509;B17;25
BF72860;D31;25
DX44682;B23;25
CI87702;D11;25
KS19431;A13;25
SB26669;C38;25
BP15881;C50;25
UK47509;B09;25
HL94468;B32;25
YF17264;D44;25
NL61668;C41;30
YF17264;B46;30
RW87354;D16;30
YF17264;C38;30
SW29687;E24;30
KS19431;E22;30
DX44682;D02;30
WL09498;C17;30
FQ88002;B23;30
KS19431;C18;30
SW29687;D38;30
IO29421;B38;30
TL56384;D30;30
BP15881;D46;30
CI87702;B37;30
FQ88002;B50;30
NL61668;A39;30
YR12572;A30;30
YR12572;A15;30
BB53001;A45;30
JI98835;A15;30
FT98440;C49;30
BF72860;C26;30
YR12572;A15;30
YW28008;D26;30
YY65200;C27;30
BF72860;C45;30
WL09498;E29;30
TL56384;D21;30
YW28008;C32;30
YR12572;E42;30
WS24612;C42;30
FZ98234;B02;30
UE09721;D29;30
YW28008;C09;30
YW80393;D04;30
OT32425;E44;30
IT60920;D17;30
YW28008;C32;30
UK47509;C13;30
SB26669;B08;30
YF17264;E25;30
BP15881;E44;30
YW28008;B39;30
FZ98234;B13;30
YW28008;E03;30
FZ98234;C26;30
OT32425;E03;30
DX44682;B46;30
SB26669;B48;30
KS19431;D41;30
DX44682;E26;30
IG92877;B49;30
NL61668;A30;30
UE09721;B13;30
UE09721;E36;30
IT60920;B39;30
YW80393;D11;40
IO29421;B34;40
IG92877;E07;40
FT98440;D45;40
KS19431;E01;40
YY65200;A08;40
YR12572;B02;40
KS19431;E16;40
CE69353;E24;40
DX44682;C03;40
IT60920;D14;40
BF72860;C14;40
JI98835;A06;40
YW28008;E12;40
BP15881;D49;40
UE09721;E02;40
KS19431;D47;40
JI98835;A39;40
YF17264;D23;40
YW28008;E25;40
YY65200;C07;40
BP15881;E01;40
FZ98234;D43;40
WS24612;C44;40
TL56384;D27;40
YR12572;D15;40
IO29421;A14;20
UK47509;C45;20
YR12572;D01;20
DX44682;A36;20
HL94468;A26;20
FZ98234;E15;20
CI87702;D42;20
WL09498;D45;20
FT98440;A46;20
WS24612;A01;20
SW29687;E14;20
IO29421;C34;20
UK47509;D20;20
HL94468;C28;20
IG92877;A07;20
UK47509;B04;20
JR86507;D48;20
TL56384;D10;20
YY65200;B48;20
IO29421;B38;20
YW80393;D49;20
WS24612;D35;20
SW29687;A01;20
MB82598;E50;20
KS19431;C36;20
BP15881;A34;20
IG92877;A35;20
IT60920;C15;20
BP15881;A26;20
SW29687;E20;20
WS24612;B21;20
YR12572;B04;20
YW80393;A07;20
FQ88002;A08;20
YY65200;E01;20
FT98440;C14;20
CE69353;E16;20
IT60920;C34;20
CI87702;B32;20
SW29687;B38;20
DX44682;D11;20
OT32425;C18;20
DX44682;E10;20
UK47509;A17;20
SW29687;E39;20
HL94468;B13;20
IO29421;E15;20
WS24612;D11;20
FT98440;B41;20
JI98835;C38;20
FQ88002;E20;20
HL94468;A24;20
WS24612;A35;20
YW28008;B39;20
OT32425;B02;20
BF72860;B03;20
WL09498;A21;20
FQ88002;C14;20
TL56384;C43;20
RW87354;D09;20
OT32425;A06;20
FZ98234;E22;20
SB26669;A11;20
YF17264;C44;20
JR86507;C11;20
NL61668;B13;20
SW29687;B39;20
YF17264;B08;20
UE09721;D24;20
FQ88002;B20;20
WS24612;B23;20
SB26669;D20;20
HL94468;E22;20
YR12572;A45;20
WS24612;E28;20
OT32425;C47;20
FZ98234;C39;20
BB53001;A03;20
YW28008;A16;20
YY65200;D25;20
FZ98234;E19;20
YF17264;A02;20
RW87354;E14;20
YR12572;A41;20
SW29687;E15;20
JI98835;A43;20
WS24612;C17;20
JI98835;A34;20
WL09498;C11;20
FT98440;E45;20
SW29687;D22;20
JR86507;B15;20
RW87354;D45;20
FZ98234;E40;20
CI87702;D14;20
IG92877;B34;20
FT98440;D10;20
NL61668;A44;20
UE09721;D47;20
CI87702;B10;20
OT32425;E15;20
CI87702;A08;20
WL09498;D40;20
YR12572;D07;20
IG92877;C12;20
BB53001;B17;20
IO29421;C27;20
WL09498;E40;20
JR86507;D22;20
WS24612;A45;20
CI87702;A19;20
OT32425;D11;20
JR86507;E33;20
SW29687;A12;20
TL56384;E47;20
IT60920;C12;20
RW87354;E49;20
MB82598;C13;20
YW28008;C03;20
RW87354;E24;20
SB26669;C15;20
MB82598;A11;20
NL61668;A03;20
FZ98234;C05;20
WS24612;A14;20
BF72860;A09;20
WS24612;C31;20
FT98440;C40;20
HL94468;B03;20
UK47509;D02;20
WS24612;D48;20
BF72860;D21;20
JI98835;C31;20
UK47509;A11;20
TL56384;D13;20
FZ98234;B07;20
YW28008;A41;20
YR12572;B50;20
JR86507;D22;20
FQ88002;A02;20
SB26669;A29;20
DX44682;E41;20
BF72860;C35;20
CI87702;C09;20
SW29687;C32;20
UK47509;C36;20
WL09498;B07;20
SW29687;B07;20
JR86507;B30;20
MB82598;A06;20
BP15881;E34;20
