06/05/2018,20110564,EF3635,D
09/05/2018,20110823,SX7522,P
07/05/2018,20112311,BH3100,P
09/05/2018,20069806,MZ6529,P
09/05/2018,20110930,NN8875,P
10/05/2018,20110930,IQ3200,P
07/05/2018,20090056,WG6535,P
08/05/2018,20013610,XG5854,P
04/05/2018,20110165,GE8514,P
07/05/2018,20060735,RU3649,P
07/05/2018,20078235,AI7921,P
04/05/2018,20030695,UZ6069,P
10/05/2018,20078092,MZ6529,P
06/05/2018,20111363,UV2257,P
09/05/2018,20019778,KK3749,D
03/05/2018,20013610,EF7349,D
09/05/2018,20119798,PA0853,P
10/05/2018,20070445,PW5521,P
06/05/2018,19993541,CI2279,P
04/05/2018,20080708,RU3649,P
06/05/2018,20090410,BZ7395,P
04/05/2018,20059696,NN8875,D
07/05/2018,20052529,JJ8861,P
05/05/2018,20110165,BH3100,P
03/05/2018,20013723,KP8208,P
05/05/2018,20059696,XA3792,P
03/05/2018,19994681,RP9394,P
05/05/2018,20030695,RN0673,P
05/05/2018,20115157,MZ5806,P
10/05/2018,20111363,EL6860,P
10/05/2018,20002987,CQ4029,D
05/05/2018,20060735,JT9902,P
06/05/2018,20110823,RN0673,P
06/05/2018,20083333,NN8875,P
09/05/2018,20010141,UP4621,P
10/05/2018,20059696,RY6519,P
07/05/2018,20067828,TF7016,P
03/05/2018,19994681,UT7122,P
08/05/2018,20036014,SC2766,P
07/05/2018,20030695,IY9659,P
06/05/2018,20002987,UZ6069,P
07/05/2018,20087081,RU3649,P
10/05/2018,20070445,PY0488,P
04/05/2018,20110930,RH6857,P
07/05/2018,20036014,UT7122,D
09/05/2018,20036014,EL3985,P
09/05/2018,20110564,QQ0205,P
04/05/2018,19993541,UZ6069,P
10/05/2018,20060119,BH3100,P
08/05/2018,20060051,JH5795,P
04/05/2018,20060119,GE8514,P
07/05/2018,20070203,TF7016,P
10/05/2018,19980622,RP9394,P
07/05/2018,20083333,RP9394,D
05/05/2018,20070203,NZ5630,D
08/05/2018,20115157,NR4482,P
10/05/2018,20110823,PY0488,P
08/05/2018,20007594,AS9501,D
07/05/2018,20080557,PA0853,D
10/05/2018,20110930,OM5321,D
07/05/2018,19993541,TD5907,P
04/05/2018,20060735,OM6583,P
05/05/2018,20069806,UC1640,P
05/05/2018,19980622,RP9394,P
08/05/2018,20090410,IU1945,D
07/05/2018,20002987,NL2557,D
10/05/2018,20019778,GQ8306,P
03/05/2018,20119798,VV6733,D
08/05/2018,20115157,XG5854,D
10/05/2018,20060735,XP0085,D
08/05/2018,20019778,CV6657,P
07/05/2018,19980824,TD5907,D
08/05/2018,20087081,EY3065,P
04/05/2018,20010141,KK3749,P
03/05/2018,20000349,VV6733,P
08/05/2018,20030695,EF3635,P
05/05/2018,20060051,AP2529,D
05/05/2018,20110564,PY0488,D
07/05/2018,20013610,TD5907,D
04/05/2018,19980824,UC1640,P
