133,Malzahar,MID,A,53.65
195,Akali,TOP,B,41.14
15,Tryndamere,TOP,A,48.52
106,Tahm Kench,SUPPORT,C,37.08
249,Graves,JUNGLE,S,60.4
227,Pantheon,SUPPORT,C,39.18
77,Annie,MID,B,44.34
80,Seraphine,ADC,C,38.32
56,Karma,SUPPORT,S,62.44
215,Fizz,MID,A,50.6
252,Skarner,JUNGLE,C,34.76
209,Darius,TOP,God,84.98
109,Ashe,SUPPORT,B,48.49
3,Singed,MID,S,58.63
181,Irelia,MID,A,54.88
196,Quinn,TOP,B,43.75
153,Swain,SUPPORT,A,55.21
115,Seraphine,SUPPORT,A,52.83
148,Morgana,SUPPORT,God,80.11
139,Swain,MID,A,53.43
210,Lissandra,MID,B,45.31
130,Sylas,MID,S,61.27
212,Rek'Sai,JUNGLE,D,26.09
26,Kha'Zix,JUNGLE,A,56.36
124,Poppy,SUPPORT,C,32.78
131,Yone,TOP,A,53.21
50,Mordekaiser,JUNGLE,S,63.82
65,Aphelios,ADC,D,29.66
84,Tristana,MID,B,47.15
138,Kayn,JUNGLE,God,77.24
90,Cassiopeia,MID,B,44.68
92,Veigar,SUPPORT,D,27.94
41,Rumble,JUNGLE,D,16.11
211,Olaf,TOP,A,49.2
200,Lee Sin,JUNGLE,God,72.89
28,Ryze,MID,B,40.93
22,Nasus,MID,A,49.3
105,Aatrox,TOP,God,89.5
226,Cassiopeia,ADC,D,29.96
186,Cho'Gath,TOP,B,45.87
198,Master Yi,JUNGLE,God,88.32
7,Kled,MID,A,51.5
99,Shen,SUPPORT,C,33.76
235,Taliyah,MID,B,44.03
37,Ryze,TOP,D,30.34
13,Kennen,TOP,C,35.01
76,Ziggs,SUPPORT,C,32.43
39,Bard,SUPPORT,A,49.19
30,Malphite,SUPPORT,D,26.66
150,Fiddlesticks,SUPPORT,C,37.21
231,Neeko,SUPPORT,C,37.39
214,Heimerdinger,MID,A,48.96
16,Brand,SUPPORT,A,51.81
8,Sejuani,TOP,C,40.08
174,Dr. Mundo,JUNGLE,B,47.88
180,Skarner,TOP,C,37.75
197,Yasuo,TOP,B,43.33
207,Xerath,SUPPORT,A,48.82
160,Taric,SUPPORT,B,44.93
120,Shyvana,JUNGLE,C,40.12
46,Orianna,MID,B,45.95
201,Taliyah,SUPPORT,D,31.9
229,Twitch,SUPPORT,B,42.04
178,Qiyana,JUNGLE,D,3.49
132,Pyke,SUPPORT,S,70.23
72,Ezreal,ADC,God,78.95
147,Renata Glasc,SUPPORT,A,55.57
222,Tahm Kench,TOP,B,41.74
206,Veigar,ADC,D,30.36
117,Xerath,MID,B,48.12
159,Ornn,TOP,A,52.16
244,Rammus,JUNGLE,God,78.11
166,Lux,SUPPORT,God,92.75
83,Thresh,SUPPORT,S,66.85
173,Kindred,JUNGLE,S,63.54
70,K'Sante,TOP,God,77.42
111,Jax,JUNGLE,D,24.74
55,Blitzcrank,SUPPORT,S,67.25
237,Zilean,SUPPORT,A,50.83
135,Mordekaiser,TOP,God,86.1
128,Kassadin,MID,S,62.01
1,Varus,ADC,A,55.31
32,Jayce,TOP,B,40.75
18,Maokai,SUPPORT,B,47.88
44,Gangplank,TOP,S,66.24
107,Kled,TOP,B,47.24
89,Katarina,MID,S,58.91
108,Yuumi,SUPPORT,God,90
240,Leona,SUPPORT,A,55.21
88,Hecarim,JUNGLE,God,78.33
187,Varus,MID,B,43.25
185,Yasuo,MID,S,68.71
224,Gangplank,MID,A,49.1
165,Jhin,ADC,God,79.3
191,Warwick,TOP,A,52.5
225,Syndra,MID,A,53.49
96,Tristana,ADC,A,54.11
38,Zed,JUNGLE,S,57.79
58,Veigar,MID,A,51.29
114,Miss Fortune,ADC,S,59.76
152,Rengar,TOP,C,36.98
219,Karthus,ADC,C,35.29
119,Teemo,TOP,S,59.87
60,Lillia,TOP,C,40.24
127,Karthus,JUNGLE,D,27.93
101,Ivern,JUNGLE,C,33.36
188,Cassiopeia,TOP,B,41.86
137,Gwen,TOP,B,47.51
43,Gwen,JUNGLE,D,20.03
35,Evelynn,JUNGLE,S,58.89
246,Volibear,JUNGLE,C,37.41
218,Jarvan IV,JUNGLE,C,37.87
194,Maokai,JUNGLE,B,47.26
143,Poppy,JUNGLE,D,27.68
53,LeBlanc,MID,B,47.02
27,Gragas,TOP,C,37.87
170,Kayle,TOP,B,44.33
104,Renekton,TOP,A,48.62
68,Ahri,MID,A,52.62
163,Twisted Fate,MID,C,40.26
134,Kayle,MID,B,45.36
57,Janna,SUPPORT,S,62.44
156,Tryndamere,MID,B,46.28
251,Zeri,ADC,S,59.61
221,Illaoi,TOP,A,53.69
62,Neeko,MID,B,46.16
59,Heimerdinger,SUPPORT,A,53.24
19,Rumble,MID,B,44.63
248,Kai'Sa,ADC,God,83.73
213,Shaco,JUNGLE,S,68.89
183,Poppy,TOP,B,41.94
250,Pantheon,TOP,B,42.15
85,Jinx,ADC,A,50.98
216,Ziggs,ADC,C,38.97
87,Zed,MID,God,87.21
10,Viego,JUNGLE,S,67.89
247,Yasuo,ADC,D,31.91
164,Shen,TOP,S,61.22
204,Nami,SUPPORT,God,86.67
233,Yorick,TOP,B,47.09
157,Amumu,SUPPORT,A,51.53
74,Olaf,JUNGLE,D,27.28
142,Sona,SUPPORT,A,56.87
21,Nidalee,JUNGLE,C,32.91
75,Gragas,MID,B,45.21
230,Ivern,SUPPORT,D,29.27
17,Diana,MID,A,48.95
93,Senna,SUPPORT,A,56.09
31,Vi,JUNGLE,A,56.38
52,Dr. Mundo,TOP,God,87.33
42,Nilah,ADC,A,50.81
79,Anivia,SUPPORT,C,34.25
228,Kog'Maw,ADC,C,36.04
78,Renekton,MID,B,43.55
100,Riven,TOP,A,51.2
171,Jayce,MID,B,45.37
155,Rell,SUPPORT,B,47.98
169,Vladimir,MID,A,49.08
245,Rumble,TOP,D,32.36
23,Bel'Veth,JUNGLE,A,53.34
122,Draven,ADC,A,51.88
175,Vel'Koz,SUPPORT,B,44.62
176,Azir,MID,C,37.89
54,Vayne,ADC,A,49.39
20,Ekko,JUNGLE,S,70.5
34,Yone,MID,S,61.43
177,Vayne,TOP,C,37.23
4,Zoe,SUPPORT,D,31.88
48,Gnar,TOP,B,41.36
238,Samira,ADC,S,69.72
69,Amumu,JUNGLE,C,40.62
98,Twitch,ADC,A,52.07
189,Rakan,SUPPORT,A,51.87
158,Urgot,TOP,B,46.24
172,Volibear,TOP,C,36.53
66,Vladimir,TOP,C,33.11
121,Gragas,JUNGLE,C,33.32
6,Annie,SUPPORT,D,26.13
217,Braum,SUPPORT,B,40.9
116,Akshan,MID,A,49.05
146,Corki,MID,B,43.17
5,Zyra,SUPPORT,A,52.45
236,Sylas,JUNGLE,God,91.1
140,Galio,MID,A,50.83
67,Gragas,SUPPORT,C,33.66
110,Heimerdinger,TOP,C,35.54
203,Qiyana,MID,B,41.54
86,Malphite,TOP,A,49.12
129,Sion,TOP,B,45
242,Diana,JUNGLE,God,75.15
136,Lulu,SUPPORT,God,73.56
239,Ashe,ADC,A,51.12
151,Elise,JUNGLE,A,53.18
97,Garen,TOP,S,57.26
199,Zac,JUNGLE,S,62.96
208,Talon,JUNGLE,D,25.55
154,Singed,TOP,B,47.66
61,Zilean,MID,A,54.98
91,Lillia,JUNGLE,S,60.3
205,Nocturne,JUNGLE,A,51.57
141,Lux,MID,S,58.52
112,Wukong,TOP,B,43.29
125,Shyvana,TOP,D,32.09
223,Sett,TOP,S,72.68
234,Irelia,TOP,S,59.83
162,Vex,MID,A,55.12
102,Ziggs,MID,B,48.01
81,Kennen,MID,B,44.54
103,Ekko,MID,A,49.66
145,Rengar,JUNGLE,B,43.51
36,Nunu,JUNGLE,B,41.95
113,Brand,MID,B,41.94
118,Soraka,SUPPORT,S,64.53
193,Aurelion Sol,MID,B,42.52
49,Quinn,MID,A,49.27
33,Akali,MID,S,61.16
45,Talon,MID,B,47.97
73,Shaco,SUPPORT,B,43.1
71,Taliyah,JUNGLE,D,23.85
51,Viktor,MID,A,55.18
149,Anivia,MID,A,50.12
47,Udyr,JUNGLE,God,85.95
40,Xin Zhao,JUNGLE,C,37.07
82,Fiddlesticks,JUNGLE,B,48.15
24,Maokai,TOP,B,41.63
14,Neeko,TOP,C,37.49
192,Lucian,ADC,A,56.83
161,Kalista,ADC,D,30.23
220,Galio,SUPPORT,C,37.15
12,Karthus,MID,B,45.53
202,Sivir,ADC,C,36.62
9,Vel'Koz,MID,A,50.24
29,Cho'Gath,MID,B,46.94
243,Jax,TOP,S,65.52
2,Quinn,ADC,D,26.41
182,Zoe,MID,B,46.03
126,Alistar,SUPPORT,B,44.24
190,Trundle,JUNGLE,C,37.71
63,Fiora,TOP,God,91.89
167,Zac,TOP,A,51.43
64,Malphite,MID,B,46.96
241,Trundle,TOP,D,30.07
179,Nautilus,SUPPORT,S,58.82
94,Caitlyn,ADC,God,91.95
123,Nasus,TOP,S,62.75
25,Xayah,ADC,B,40.73
144,Warwick,JUNGLE,God,76.16
11,Pantheon,MID,A,50.18
184,Wukong,JUNGLE,A,53.5
232,Camille,TOP,S,59.25
168,Sejuani,JUNGLE,A,50.79
95,Akshan,TOP,B,41.96
