UV2257,El Duque en su territorio,Antonio Lozada,132.41
AI7921,Las demoliciones de Paris,Humberto Zarate,70.24
HV6319,L'ecole des menages,Julio Rosemberg,4.21
ZF7975,The Countess de Charny,Heli Urbina,105.11
KZ6738,El Club de los explotadores,Madeleine Suarez,44.14
EL3985,Elogio de la madre,Antonio Lozada,10.74
RN0673,La hermosa jardinera,Humberto Zarate,48.49
EF3635,Le Cousin Pons,Johan Coronado,191.52
IY9659,El Manuscrito del Domino,Alfonso Miranda,18.68
NR4482,House of Pomegranates,Annie Montero,49.02
OM5321,Le Colonel Chabert,Martin Villa,145.26
EF7349,An Ideal Husband,Arturo Serrano,25.81
AP2529,Le Chef-d'oeuvre inconnu,Annie Merel,22.60
PK0790,Historia de Maria,Edgar Suchero,131.60
BZ7395,Suspense!,Amaru Suarez,2.57
MZ5806,Una Navidad,Virginia Chumpitaz,75.06
PA0853,The Nutcracker,Walter Diaz,102.11
UC1640,La Peau de chagrin,Evert Figueroa,157.54
DY8425,Musica para camaleones,Monica Calixto,6.77
JD9616,La Cousine Bette,Julio Rosemberg,34.19
JP1675,La Fille aux yeux d'or,Edgar Ayala,25.94
JH5795,Lady Windermere's Fan,Alfonso Miranda,91.43
OO4960,The Corsican Brothers,Carmela Cortez,55.87
WG6535,La casa roja,Gonzalo Vega,29.80
UZ6069,El nino perdido,Rafael Urbina,2.23
OQ5947,La guerra sin fin ,Julio Rosemberg,11.75
PY0488,La Resurreccion de Rocambole,Rafael Urbina,21.61
QY4518,Beat the Devil,Alfonso Miranda,214.31
XG5854,Los tesoros del Rajah,Daniel Vargas,15.26
PS1579,Le Chevalier de Maison-Rouge,Jenny Hijar,5.57
ER2937,Lord Arthur Savile's Crime and Other Stories,Alex Falcon,34.56
PW5521,Les Ressources de Quinola,Madeleine Suarez,24.25
RU3649,The Fencing Master,Madeleine Suarez,8.51
GQ8306,Twenty Years After,Johan Coronado,196.93
SC2766,La Catedral,Edgar Suchero,38.56
EY3065,La reina de las barricadas,Johan Coronado,73.15
KP8208,Alice's Adventures in Wonderland,Heli Urbina,133.60
TD5907,The Ballad of Reading Gaol,Lucero De La Cuba,28.26
UT7122,Sylvie and Bruno Concluded,Lucero De La Cuba,3.42
XA3792,Un breve cuento aparecido en la revista Seventeen,Virginia Chumpitaz,40.16
DC5635,The Companions of Jehu,Humberto Zarate,61.58
AY9196,The Hunting of the Snark,Daniel Vargas,28.08
VV6733,El narrador,Annie Merel,224.75
EP9684,El testamento del grano de sal,Edgar Suchero,141.71
QQ0205,Unspoiled Monsters y Kate McCloud,Ofelia Zambrano,11.34
SX7522,Paseo por los Andes,Martin Villa,81.00
UP4621,Le Vicaire des Ardennes,Rafael Urbina,65.79
XP0085,Redencion!,Amaru Suarez,19.98
MZ6529,La jaula de los pajaros,Gonzalo Vega,21.42
NL2557,Georges,Amaru Suarez,6.15
EL6860,La vuelta del Presidiario,Angel Chumpitaz,16.71
UK4282,Joseph Balsamo,Alfonso Miranda,114.29
OM6583,Los Caballeros del Claro de Luna,Alberto De La Haza,39.58
CV6657,The Page of the Duke of Savoy,Carmela Cortez,15.09
BH3100,Cabo Trafalgar,Edgar Suchero,5.32
NN8875,Muerte de la luz,Monica Calixto,122.75
IQ3200,Las Miserias de Londres,Annie Montero,124.44
CI2279,Wann-Chlore,Felicita Villegas,5.74
IO4267,Le Corsaire,Walter Diaz,72.30
JT9902,El Presidio de Tolon,Evert Figueroa,152.05
QI9476,What the Tortoise Said to Achilles,Humberto Zarate,66.95
CQ4029,Corsarios de Levante,Johan Coronado,37.37
GE8514,Serie Cancion de hielo y fuego,Edgar Ayala,34.99
JJ8861,The Women's War,Ofelia Zambrano,221.28
KK3749,El pintor de batallas,Monica Calixto,66.28
TF7016,Castle Eppstein; The Specter Mother,Beatriz Patino,57.46
YH4590,The Queen's Necklace,Jenny Hijar,44.73
RY6519,The Regent's Daughter,Miguel Alamo,137.27
AS9501,The horoscope : a romance of the reign of Francois II,Virginia Chumpitaz,63.62
IU1945,Robin Hood,Daniel Vargas,30.15
RH6857,Carmen la gitana,Felicita Villegas,66.08
GH5909,A Dream of Spring,Evert Figueroa,54.85
NZ5630,Clotilde de Lusignan,Milena Guevara,18.67
RP9394,El hombre gris,Cesar Astete,16.43
MT2583,La tabla de Flandes,Daniel Vargas,82.46
